Filename,Fast Kernighan Lin time,Precise Kernighan Lin time,Fast Kernighan Lin result,Precise Kernighan Lin result
100_170_29.txt,0.009853,0.011907,421,399
100_170_22.txt,0.007684,0.011537,412,366
100_170_4.txt,0.008927,0.011727,532,413
100_170_23.txt,0.007827,0.011280,442,345
100_170_30.txt,0.007349,0.010839,464,379
100_170_25.txt,0.006852,0.009392,431,379
100_170_2.txt,0.007613,0.009831,509,420
100_170_26.txt,0.008400,0.011082,469,418
100_170_5.txt,0.008123,0.012013,428,375
100_170_13.txt,0.008155,0.011120,474,415
100_170_24.txt,0.008369,0.010190,382,377
100_170_28.txt,0.007546,0.009992,534,474
100_170_17.txt,0.007468,0.009881,461,406
100_170_21.txt,0.007024,0.010034,482,421
100_170_20.txt,0.009189,0.011952,522,449
100_170_10.txt,0.009232,0.014651,445,355
100_170_8.txt,0.005657,0.007732,490,459
100_170_19.txt,0.007589,0.011585,413,351
100_170_6.txt,0.008718,0.011751,351,278
100_170_27.txt,0.007627,0.010557,509,454
100_170_9.txt,0.006967,0.009614,475,400
100_170_18.txt,0.008429,0.013167,441,383
100_170_7.txt,0.009112,0.014295,481,365
100_170_16.txt,0.008695,0.011269,427,391
100_170_11.txt,0.008381,0.010434,456,444
100_170_15.txt,0.009747,0.011245,380,370
100_170_1.txt,0.009254,0.012647,494,412
100_170_3.txt,0.008623,0.011907,478,438
100_170_14.txt,0.009933,0.010930,403,369
100_170_12.txt,0.008876,0.011080,389,373
