Filename,Fast Kernighan Lin time,Precise Kernighan Lin time,Fast Kernighan Lin result,Precise Kernighan Lin result
50_65_18.txt,0.001419,0.002241,123,113
50_65_23.txt,0.001299,0.001971,146,129
50_65_1.txt,0.001475,0.002146,141,108
50_65_12.txt,0.001361,0.001819,166,142
50_65_27.txt,0.001454,0.002337,207,136
50_65_17.txt,0.001678,0.003697,188,92
50_65_21.txt,0.002663,0.002713,129,117
50_65_25.txt,0.001994,0.001930,113,103
50_65_19.txt,0.002362,0.003657,124,124
50_65_10.txt,0.002730,0.002117,119,109
50_65_8.txt,0.001313,0.002098,125,109
50_65_26.txt,0.000954,0.001223,143,143
50_65_29.txt,0.001805,0.003101,216,147
50_65_15.txt,0.001515,0.002260,166,150
50_65_14.txt,0.001337,0.001803,146,141
50_65_9.txt,0.001040,0.001793,193,163
50_65_16.txt,0.001616,0.003006,145,131
50_65_3.txt,0.001294,0.001519,109,109
50_65_7.txt,0.000957,0.001192,112,112
50_65_13.txt,0.001471,0.002009,105,88
50_65_2.txt,0.001479,0.002153,117,91
50_65_5.txt,0.001101,0.001736,133,108
50_65_4.txt,0.001673,0.002553,117,114
50_65_6.txt,0.001370,0.001998,126,116
50_65_24.txt,0.001263,0.001987,210,159
50_65_30.txt,0.001200,0.001772,131,108
50_65_22.txt,0.001345,0.002314,151,115
50_65_20.txt,0.001301,0.001525,128,128
50_65_28.txt,0.001118,0.001780,157,129
50_65_11.txt,0.001033,0.001675,140,124
