1, 21, 11
1, 30, 18
1, 31, 20
1, 9, 5
1, 33, 17
1, 36, 15
2, 31, 13
2, 25, 17
3, 39, 11
3, 43, 13
3, 16, 14
4, 17, 13
5, 8, 11
6, 40, 19
7, 29, 10
7, 41, 10
7, 34, 5
8, 16, 3
8, 48, 6
8, 15, 8
8, 11, 18
10, 11, 17
12, 50, 4
12, 27, 18
12, 37, 19
12, 46, 10
13, 37, 9
13, 16, 3
13, 24, 6
13, 26, 18
14, 43, 8
14, 28, 8
15, 21, 6
15, 37, 7
15, 28, 8
15, 27, 20
16, 35, 1
17, 30, 3
17, 27, 8
18, 37, 15
19, 38, 11
19, 49, 1
19, 37, 2
19, 23, 11
19, 30, 13
20, 32, 16
20, 26, 18
22, 39, 14
24, 39, 14
24, 28, 12
24, 46, 7
25, 49, 8
25, 33, 9
26, 45, 17
27, 34, 7
30, 33, 13
30, 37, 1
30, 34, 10
32, 44, 13
33, 50, 15
33, 37, 13
34, 47, 3
34, 35, 19
39, 41, 12
42, 50, 1
