1, 35, 18
1, 45, 2
2, 9, 14
3, 46, 2
4, 50, 6
5, 30, 6
5, 26, 8
6, 38, 8
6, 41, 14
7, 18, 9
7, 45, 17
7, 8, 1
8, 41, 17
9, 28, 6
10, 12, 16
10, 18, 6
10, 34, 20
10, 47, 2
10, 30, 9
11, 24, 7
11, 32, 15
13, 40, 12
13, 17, 19
13, 31, 2
13, 44, 10
13, 24, 19
14, 41, 9
15, 43, 11
15, 32, 11
15, 27, 15
15, 45, 4
15, 30, 10
16, 19, 11
16, 30, 7
16, 18, 9
17, 33, 17
18, 20, 9
18, 23, 15
20, 32, 9
21, 32, 2
21, 46, 7
22, 35, 14
22, 32, 8
23, 28, 16
23, 30, 13
25, 49, 19
26, 46, 11
26, 39, 2
27, 47, 14
29, 50, 7
30, 37, 6
32, 33, 2
33, 50, 7
33, 40, 3
33, 36, 3
34, 36, 17
35, 49, 8
36, 37, 7
36, 42, 18
38, 47, 16
39, 43, 14
39, 45, 12
42, 47, 15
42, 46, 9
48, 50, 20
