1, 24, 9
1, 21, 11
1, 29, 8
2, 40, 16
2, 41, 10
3, 35, 6
3, 12, 8
3, 28, 17
3, 42, 12
3, 29, 20
4, 25, 10
5, 13, 17
5, 7, 6
5, 12, 4
6, 18, 3
7, 10, 17
7, 24, 14
7, 9, 3
8, 37, 14
8, 36, 17
8, 22, 11
9, 13, 17
9, 30, 7
10, 16, 19
10, 23, 3
10, 33, 11
10, 28, 5
10, 29, 10
10, 48, 6
11, 38, 5
11, 15, 12
12, 30, 20
12, 48, 2
13, 46, 5
14, 50, 7
14, 38, 4
14, 18, 7
16, 21, 10
16, 48, 10
16, 45, 4
17, 41, 12
18, 23, 5
19, 50, 5
20, 36, 4
21, 42, 14
22, 30, 7
22, 29, 2
23, 26, 5
23, 43, 15
23, 45, 6
24, 32, 15
26, 34, 4
26, 35, 3
27, 44, 13
27, 30, 19
28, 38, 9
28, 44, 16
30, 36, 5
30, 35, 6
31, 38, 13
31, 35, 18
32, 49, 18
34, 39, 14
41, 47, 3
46, 50, 17
