1, 77, 19
1, 21, 17
2, 48, 3
2, 11, 15
3, 91, 2
3, 4, 17
3, 70, 14
4, 10, 19
4, 42, 10
4, 5, 15
4, 13, 16
5, 9, 5
5, 38, 18
5, 39, 14
5, 80, 18
6, 35, 17
6, 54, 10
6, 65, 12
6, 15, 8
6, 36, 20
7, 71, 1
7, 64, 8
7, 89, 12
8, 65, 14
8, 15, 16
8, 28, 5
8, 51, 6
8, 100, 5
8, 20, 19
9, 78, 18
9, 97, 19
9, 29, 12
10, 23, 6
10, 19, 16
10, 92, 17
11, 32, 4
11, 68, 16
11, 69, 18
11, 51, 17
11, 91, 5
12, 81, 2
12, 50, 1
13, 43, 19
13, 24, 3
13, 77, 6
13, 28, 20
14, 40, 16
14, 99, 4
14, 94, 10
14, 27, 1
15, 41, 16
15, 75, 20
15, 27, 13
16, 29, 15
16, 26, 19
16, 18, 4
16, 70, 16
17, 59, 13
17, 68, 2
17, 80, 15
17, 92, 18
18, 46, 15
19, 30, 3
19, 55, 16
20, 32, 5
20, 59, 12
20, 90, 17
20, 22, 1
21, 92, 20
23, 42, 16
24, 49, 9
24, 59, 15
25, 96, 14
25, 56, 5
25, 60, 12
26, 100, 10
26, 76, 12
26, 90, 2
26, 31, 12
26, 56, 4
27, 47, 14
27, 76, 5
28, 63, 20
28, 65, 9
28, 99, 17
28, 52, 16
28, 44, 18
28, 83, 16
29, 60, 14
29, 47, 3
29, 65, 6
29, 96, 8
30, 45, 9
30, 47, 14
32, 46, 4
32, 40, 10
32, 93, 19
33, 80, 9
33, 85, 17
33, 60, 7
34, 77, 15
34, 75, 15
35, 55, 13
35, 73, 20
35, 82, 13
36, 58, 14
37, 67, 6
37, 53, 19
37, 96, 1
37, 83, 17
37, 43, 15
38, 48, 12
39, 83, 18
39, 55, 10
40, 82, 10
41, 50, 9
41, 100, 20
42, 93, 2
42, 44, 12
43, 52, 11
44, 63, 7
44, 53, 11
45, 94, 9
45, 63, 14
47, 85, 17
47, 79, 6
48, 53, 6
51, 89, 16
51, 65, 2
52, 54, 13
53, 73, 20
53, 90, 15
54, 92, 4
54, 74, 20
54, 62, 3
55, 90, 14
56, 62, 6
56, 72, 9
57, 78, 8
58, 65, 8
58, 95, 8
59, 100, 9
60, 91, 19
60, 80, 18
61, 91, 20
61, 97, 1
61, 65, 20
61, 90, 19
62, 81, 17
62, 76, 2
62, 71, 18
64, 99, 15
66, 81, 7
67, 94, 12
70, 72, 5
72, 83, 4
73, 86, 17
74, 99, 17
77, 92, 5
79, 93, 6
80, 91, 5
81, 99, 18
82, 97, 14
84, 98, 19
86, 99, 3
87, 99, 9
88, 89, 13
89, 100, 8
91, 97, 2
96, 98, 12
